latitude,longitude
39.056601,-94.596049
39.091442,-94.578109
39.108998,-94.570275
39.1312,-94.577767
38.974771,-94.594644
39.092327,-94.579764
39.092004,-94.585697
38.564807,-90.245906
38.62683,-90.256709
30.403807,-89.031409
30.35073,-89.149071
30.44732,-88.718422
35.224489,-80.889125
35.247251,-80.805827
35.219753,-80.812121
35.223722,-80.638651
35.213961,-80.769473
35.203303,-80.790459
41.237616,-96.012243
41.287989,-95.980577
41.213184,-96.080681
41.264636,-95.961377
41.262169,-95.845356
41.202787,-95.947408
42.993449,-71.461422
39.75762,-74.106247
40.180478,-74.026669
38.930407,-74.922996
40.836944,-74.152094
40.509006,-74.391648
40.8892,-74.038396
40.267883,-74.525392
40.716744,-74.048576
40.966251,-74.598472
40.620783,-74.235143
40.796235,-74.312024
39.053254,-74.759404
39.003933,-74.798839
35.083547,-106.654206
35.086121,-106.683503
35.149476,-106.63947
35.08335,-106.643774
35.892803,-106.023078
35.662808,-105.96528
35.690681,-105.944483
35.62648,-105.920724
35.67216,-105.96186
35.681324,-105.958662
35.977749,-114.838116
36.175479,-115.224153
39.525812,-119.799249
39.527635,-119.824985
39.529152,-119.818239
40.811793,-73.88354
42.85436,-78.808223
42.950247,-78.826468
42.957745,-78.889082
42.547775,-78.475935
40.745922,-73.859361
43.018483,-78.697269
41.788318,-73.934688
42.813168,-78.842255
40.660166,-73.563114
40.746162,-73.944298
40.772773,-73.916412
43.051209,-78.846703
40.729376,-73.861372
40.757362,-73.642873
39.231935,-84.377248
39.118278,-84.419264
41.498216,-81.536786
41.477338,-81.683067
41.484004,-81.709808
41.48871,-81.726048
41.520771,-81.651582
41.485345,-81.799047
35.221985,-97.441426
35.725907,-97.975337
35.452384,-97.554838
35.507994,-97.552373
35.507415,-97.494686
35.509399,-97.492277
35.480928,-97.548119
35.748807,-96.654499
36.637372,-95.151357
45.482768,-122.589478
45.519569,-122.675257
45.51743,-122.659143
45.526319,-122.68362
45.478945,-122.619763
45.51643,-122.626698
45.555572,-122.650152
45.504577,-122.632112
40.494019,-79.860289
40.519833,-80.169803
40.173611,-75.107521
40.295895,-75.005828
39.948781,-75.16632
39.963914,-75.144527
39.980369,-75.123015
39.961331,-75.146021
40.050142,-75.011106
40.427099,-79.949553
40.446127,-79.992238
40.396012,-80.034727
40.54793,-80.035458
40.426387,-79.967209
41.426027,-71.459655
41.791036,-71.422634
41.824643,-71.399099
41.616134,-71.200142
34.001025,-81.01724
32.780309,-79.928071
32.789266,-79.947184
32.811371,-79.949359
32.787324,-80.01402
32.7838,-79.998069
35.076543,-81.646002
33.979047,-81.311723
34.940268,-81.943196
36.304337,-86.63588
35.994852,-83.885777
35.153601,-90.049697
35.150924,-89.981419
35.07404,-89.881416
35.144245,-90.054185
35.028986,-90.025559
35.036989,-89.937458
35.049512,-90.007937
36.151466,-86.779609
36.123306,-86.775861
36.153247,-86.823405
36.169442,-86.78794
36.136525,-86.802762
35.960974,-86.672336
29.393558,-98.238788
32.706095,-97.119118
32.749758,-97.111803
30.266406,-97.73769
30.261492,-97.759233
30.24448,-97.751951
30.245909,-97.778358
30.53211,-96.300815
32.814245,-96.825427
32.807673,-96.770194
32.783013,-96.785495
32.86098,-97.253542
32.749586,-97.358176
29.736896,-95.568051
29.741721,-95.46096
29.750046,-95.383869
29.746483,-95.392196
29.745606,-95.410976
29.541789,-95.019817
29.558473,-95.80758
29.511277,-98.465916
29.48671,-98.447623
29.519345,-98.507484
29.469804,-98.438695
29.488981,-98.598141
29.466706,-98.492265
29.440457,-98.50055
29.564561,-98.48948
29.470217,-98.531241
29.65717,-99.27643
30.568827,-97.411098
41.167621,-112.026386
40.725509,-111.831972
40.624293,-111.825813
40.751672,-111.884107
40.72435,-111.895505
40.771914,-111.91249
40.785756,-111.71636
38.898077,-77.122904
38.884204,-77.173704
36.866164,-76.284848
36.869699,-76.279304
36.860942,-76.390675
36.826163,-76.347524
36.994804,-76.561927
37.58992,-77.458577
37.550889,-77.453397
36.910456,-76.071517
36.756198,-76.010379
36.856691,-75.990782
36.812396,-76.071578
38.788435,-77.233009
47.626879,-122.521201
47.979598,-122.216454
47.661952,-122.341671
47.690609,-122.361007
47.662754,-122.375752
47.665008,-122.312771
47.552481,-122.333903
47.654798,-122.321494
47.614996,-117.430181
47.655279,-117.441405
47.658786,-117.418364
47.642667,-117.42446
47.614437,-117.369356
47.255883,-122.462332
42.583361,-87.817521
43.052821,-87.896665
43.056132,-87.889599
46.733305,-92.104131
38.411376,-82.479398
38.486747,-82.301173
